"CarId","Cylinders","Source","EngineConfig","ConfigSource"
"06_ygt_53_bmw_e46","6","chassis","Inline","chassis"
"06_ygt_53_nissan_350z","6","chassis","V60","chassis"
"1stclasspilot_e36","8","codename:\b\b5\.3[\s-]?LS\b","Inline","chassis"
"38_hb_444",,,,
"a3dr_ferrari_512tr","12","cylword:12","V60","brand"
"a3dr_porsche_993_c2","6","chassis","Boxer","chassis"
"a3dr_porsche_993_c4","6","chassis","Boxer","chassis"
"a3dr_viper_rt10","10","chassis","V90Even","chassis"
"abarth500",,,,
"abarth500_s1",,,,
"acdfr_infinity_q60",,,,
"ace_charger","8","tag:v8","V8CrossPlane","codename"
"ace_lt1","8","tag:v8","V8CrossPlane","codename"
"act_oom500","6","desc:6",,
"acw_subaru_grb","4","cylword:4","Boxer","chassis"
"ac_legends_bmw_2002",,,,
"adc_ford_au_falcon_420",,,,
"adc_holden_commodore_vk__420",,,,
"adc_lexus_is200_xe-10__420",,,,
"adc_nissan_180sx__420","4","chassis","Inline","chassis"
"adc_nissan_fairlady_432__420",,,,
"adc_nissan_laurel__420","6","chassis","Inline","chassis"
"adc_nissan_s14_kouki__420","4","chassis","Inline","chassis"
"adc_nissan_skyline_r31_sedan__420","6","chassis","Inline","chassis"
"adc_nissan_skyline_r31__420","6","chassis","Inline","chassis"
"adc_nissan_skyline_r32__420","6","chassis","Inline","chassis"
"adc_toyota_cresta__420","6","codename:\b1JZ(?:[-\s]?GTE|[-\s]?GE)?\b","Inline","chassis"
"adc_toyota_jzx100_chaser__420","6","codename:\b2JZ(?:[-\s]?GTE|[-\s]?GE)?\b","Inline","chassis"
"adc_toyota_jzx_90","6","chassis","Inline","chassis"
"adc_toyota_ke70_flat","4","codename:\b4[AG][-\s]?GE\b",,
"adc_toyota_ke70_quad","4","codename:\b4[AG][-\s]?GE\b",,
"adc_toyota_soarer__420","6","chassis","Inline","chassis"
"ad_am_one77","12","tag:V12","V8FlatPlane","chassis"
"aegis_mitsubishi_lancer_evolution_v_gsr","4","chassis","Inline","chassis"
"alfa_romeo_giulietta_qv","4","cylword:4",,
"alfa_romeo_giulietta_qv_le","4","cylword:4",,
"alm_supra_a60","6","chassis","Inline","chassis"
"amy_ek_cup","4","chassis","Inline","chassis"
"amy_honda_dc2_turbo","4","chassis","Inline","chassis"
"amy_honda_ek9_turbo","4","chassis","Inline","chassis"
"arch_ruf_ctr_1987",,,,
"art_diablo_gtr","12","tag:V12","V60","chassis"
"art_nissan_gtr_bcnr33_600r",,,,
"art_skyline_r32_gtr","6","chassis","Inline","chassis"
"as_aston_martin_victor","12","tag:v12","V60","brand"
"as_bmw_m3_g80_rftuned","6","chassis","Inline","chassis"
"as_bmw_m4_competition_g82_By_Ceky_Performance_XDrive","6","chassis","Inline","chassis"
"as_porsche_964_turbo_s","6","chassis","Boxer","chassis"
"as_singer_dls","6","desc:6","Boxer","codename"
"atdt_bmw_e46_m3","6","codename:\bS5[024]B[0-9]+\b","Inline","chassis"
"atdt_s2000_a_spec","4","codename:\bF20C\b","Inline","chassis"
"audi_rs3_2022_LMC","5","desc:5",,
"austin_mini_cooper_s_1000","4","chassis","Inline","chassis"
"austin_mini_cooper_s_appk","4","chassis","Inline","chassis"
"authentic_ai_1999_shrike",,,,
"authentic_ai_2017_commuter",,,,
"authentic_ai_2021_boxy",,,,
"authentic_ai_2023_volley_rsi",,,,
"aw_nissan_silvia_specr_sp_alt","6","chassis","Inline","chassis"
"bati_e46_nspec54","6","chassis","Inline","chassis"
"bati_e46_nspec85","10","desc:V10","Inline","chassis"
"bati_fd3s_rx7","-1","rotary","Rotary","rotary-sentinel"
"bdc_compspec_s14_v2","4","chassis","Inline","chassis"
"bdc_streetspec_350z_v4","4","desc:V4","V60","chassis"
"bdc_streetspec_ae86_v4","4","desc:V4","Inline","chassis"
"bdc_streetspec_altezza_v4","4","desc:V4","Inline","chassis"
"bdc_streetspec_aristo_v4","4","desc:V4",,
"bdc_streetspec_e36_v4","4","desc:V4","Inline","chassis"
"bdc_streetspec_miata_v4","4","desc:V4","Inline","chassis"
"bdc_streetspec_r32_v4","4","desc:V4","Inline","chassis"
"bdc_streetspec_rx7_v4","4","desc:V4","Rotary","chassis"
"bdc_streetspec_s13_v4","4","desc:V4",,
"bdc_streetspec_s14_v4","4","desc:V4","Inline","chassis"
"bg_mercedes_amg_gt_black_jp","8","codename:\bLS[1-9]X?\b","V8FlatPlane","desc-flat-plane"
"bg_mercedes_amg_one",,,,
"bh_civic_turbo",,,,
"BigRedStuntsCat","8","tag:v8","V8CrossPlane","codename"
"bio_g35",,,,
"bksy_nissan_skyline_r34_vspec_ii_nur","6","chassis","Inline","chassis"
"bk_dodge_charger_srt_hellcat_redeye_widebody_rftuned","8","desc:V8","V8CrossPlane","codename"
"bmw_1m","6","cylword:6",,
"bmw_1m_s3","6","cylword:6",,
"BMW_M3_COMPETITION_F80_AC_SPEED_X_MIRKOSS","8","desc:V8","Inline","chassis"
"bmw_m3_e30","6","chassis","Inline","chassis"
"bmw_m3_e30_drift","6","chassis","Inline","chassis"
"bmw_m3_e30_dtm","6","chassis","Inline","chassis"
"bmw_m3_e30_gra","6","chassis","Inline","chassis"
"bmw_m3_e30_s1","6","chassis","Inline","chassis"
"BMW_M3_E36_AC_SPEED_VIP","4","cylword:4","Inline","chassis"
"bmw_m3_e92","8","desc:V8","Inline","chassis"
"bmw_m3_e92_drift","8","desc:V8","Inline","chassis"
"bmw_m3_e92_s1","8","desc:V8","Inline","chassis"
"BMW_M3_G80_CS_AC_SPEED_X_MIRKOSS","6","chassis","Inline","chassis"
"bmw_m3_gt2","8","desc:V8",,
"bmw_m5_f10_editTakumimlz",,,,
"bmw_m6_e63","10","desc:V10","V8CrossPlane","chassis"
"bmw_x6m_e71_traffic","8","cylword:8",,
"bmw_z4","6","desc:6",,
"bmw_z4_drift","6","desc:6",,
"bmw_z4_gt3","8","desc:V8",,
"bmw_z4_s1","6","desc:6",,
"bz_corvette_zr1_c6_v2","8","tag:V8","V8CrossPlane","codename"
"camaro_zl1_1le_prvvy","8","desc:V8","V8CrossPlane","codename"
"CesarYeeMiata","4","tag:i4","Inline","chassis"
"cfd23_brz_banet","6","codename:\b2JZ(?:[-\s]?GTE|[-\s]?GE)?\b","Boxer","chassis"
"cfd23_nissan_s14_s_stoeckli","6","codename:\b2JZ(?:[-\s]?GTE|[-\s]?GE)?\b","Inline","chassis"
"ChaceG35s","6","desc:V6","V60","chassis"
"chimmybandido_v2",,,,
"CityBoiV2","8","tag:v8","V8FlatPlane","chassis"
"cityboi_c7","8","tag:v8","V8CrossPlane","chassis"
"cky_evo_ix_mr","4","desc:4","Inline","chassis"
"coastline_mercedes_190e_street",,,,
"corvette_c4_zr1_1995","8","desc:V8","V8CrossPlane","codename"
"crl_bmw_m3_g80_tuned","6","chassis","Inline","chassis"
"crown_s210_police",,,,
"ddm_daihatsu_copen_street","6","desc:B6",,
"ddm_honda_civic_fd2","4","chassis","Inline","chassis"
"ddm_honda_s2000_ap1","4","chassis","Inline","chassis"
"ddm_honda_s2000_ap2","4","chassis","Inline","chassis"
"ddm_mazda_fc3s_re","-1","rotary","Rotary","rotary-sentinel"
"ddm_mazda_rx7_infini_fc3s","-1","rotary","Rotary","rotary-sentinel"
"ddm_mitsubishi_evo_iv_gsr","4","chassis","Inline","chassis"
"ddm_mugen_civic_aero_ek9","4","desc:L4","Inline","chassis"
"ddm_mugen_civic_ek9","4","desc:L4","Inline","chassis"
"ddm_nissan_silvia_s14k","4","desc:L4","Inline","chassis"
"ddm_nissan_silvia_s14k_opt","4","desc:L4","Inline","chassis"
"ddm_nissan_silvia_s15","4","chassis","Inline","chassis"
"ddm_nissan_skyline_bnr32","6","chassis","Inline","chassis"
"ddm_nissan_skyline_hr31_house","6","codename:\bRB2[567](?:DET{1,2})?\b","V60","chassis"
"ddm_subaru_22b","4","chassis","Boxer","chassis"
"ddm_toyota_mr2_sw20","4","desc:L4",,
"ddm_toyota_mr2_sw20_shuto","4","desc:L4",,
"ddm_toyota_mrs_c_one","4","desc:L4","Inline","chassis"
"ddm_toyota_mrs_haru","4","desc:L4",,
"ddm_toyota_supra_ma70","6","desc:L6",,
"de_accord_12_v3","5","tag:v5",,
"dngs_toyota_ae86_levin_coupe","4","codename:\b4[AG][-\s]?GE\b","Inline","chassis"
