"CarId","Was","Now","OldSrc","NewSrc"
"tando_buddies_s15","4","6","baked","codename"
"gravygarage_street_e36_compact","6","4","baked","codename"
"gravygarage_street_e36_touring","6","8","baked","codename"
"vdc_nissan_s15_public_2jz","3","6","baked","codename"
"NForce_RX8","4","6","baked","rotor-phrase"
"ld_josh_370z_v2","2","8","baked","codename"
"vdc_bmw_e46_public","8","6","baked","codename"
"gravygarage_street_s13_brent","4","6","baked","codename"
"bati_fd3s_rx7","5","4","baked","codename"
"gravygarage_street_s13_tim","4","6","baked","codename"
"ld_mike_fc3s","2","4","baked","codename"
"gravygarage_street_180sx_corbett","4","6","baked","codename"
"gravygarage_street_180sx_meade","4","6","baked","codename"
"gd_toyota_supra_gr","4","6","baked","codename"
"vdc_nissan_silvia_180sx_public","8","4","baked","codename"
"vdc_nissan_s15_public","3","6","baked","codename"
"prvvy_e30_widebody_4rotor_tt","6","8","baked","rotor-phrase"
"gravygarage_street_s14_joel","4","6","baked","codename"
"vdc_nissan_r33_public","2","6","baked","codename"
"vdc_nissan_s14_zenki_public","2","4","baked","codename"
